name,phone_numbers,officialPhone,email,websites,officialWebsite,yearEstablished,facebookLink,twitterLink,linkedinLink,instagramLink,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,facilityTypeId,operatorTypeId,affiliationTypeIds,description,numberDoctors,capacity,specialties,procedure,equipment,capability,recency_of_page_update,distinct_social_media_presence_count,affiliated_staff_presence,custom_logo_presence,number_of_facts_about_the_organization,post_metrics_most_recent_social_media_post_date,post_metrics_post_count,engagement_metrics_n_followers,engagement_metrics_n_likes,engagement_metrics_n_engagements,latitude,longitude
Krupa ENT Clinic,"[""+917892812082""]",+917892812082,krupaentclinic@gmail.com,"[""https://www.justdial.com/Koppal/Krupa-Ent-Clinic-Bus-Stand-Road-GANGAVATHI-Gangavathi/9999P8534-8534-221222110037-L8H5_BZDET/reviews"",""https://krupa-ent-clinic.business.site/?utm_source=gmb&utm_medium=referral"",""https://www.justdial.com/Koppal/Krupa-Ent-Clinic-Bus-Stand-Road-Gangavathi-Gangavathi/9999P8534-8534-221222110037-L8H5_BZDET"",""https://www.facebook.com/104088795923555"",""https://www.justdial.com/Koppal/ENT-Doctors-in-Gangavati-Julynagar/nct-10189442"",""krupa-ent-clinic.business.site""]",krupa-ent-clinic.business.site,null,https://www.facebook.com/104088795923555,null,null,null,Bus Stand Road,H R S Complex,Near Somaraju Hospital,Gangavathi,Karnataka,583227,India,IN,clinic,null,null,"ENT clinic near Somaraju Hospital, Gangavathi, Koppal. Opens at 10:00 AM. 2 Years in Healthcare.",null,null,"[""pediatricOtolaryngology"",""familyMedicine"",""otolaryngology"",""neurotologyAndOtology""]",[],[],"[""Has 2 years in healthcare"",""ENT clinic specializing in ear, nose, and throat care""]",null,5,TRUE,TRUE,5,2023-06-13,null,21,20,null,15.42764473,76.53144073
Akshath Dental Clinic,"[""+918508050523"",""+919363030523""]",+919363030523,[email protected],"[""https://www.akshathdentalclinic.com/""]",null,null,https://www.facebook.com/105588488885595,null,null,null,"177, Fort Main Rd",Shevapet,null,Salem,Tamil Nadu,636002,India,IN,clinic,private,null,"Akshath Dental Clinic offers orthodontics and general dentistry including aligners, braces, implants, and fillings, led by Dr. D.B Saranya.",null,null,"[""dentalImplantsAndPeriodontics"",""familyMedicine"",""orthodontics"",""prosthodontics"",""cosmeticDentistry"",""oralAndMaxillofacialSurgery"",""dentistry"",""pedodontics"",""endodontics""]","[""Offers laser dentistry"",""Provides braces including self-ligating braces"",""Offers prosthodontics"",""Offers orthodontics"",""Offers pedodontics"",""Offers cosmetic dentistry"",""Provides fillings"",""Provides dental aligners"",""Offers endodontics"",""Offers oral and maxillofacial surgery"",""Provides dental implants""]","[""Dental hygiene tools"",""Dental treatment chair"",""Dental examination equipment"",""Dental diagnostic equipment""]","[""Has 1 clinic location"",""Dr. D.B. Saranya is the primary dentist at Akshath Dental Clinic"",""Has a 5-star rating"",""Offers 20+ services"",""Provides emergency dental services"",""Has 1000+ happy patients"",""Has 15+ years of dentistry experience"",""Offers outpatient dental care""]",null,0,TRUE,TRUE,null,null,null,null,null,null,11.65325737,78.14990234
Akash Drs clinic,"[""+919388123451""]",null,null,"[""https://www.justdial.com/Palakkad/Akash-Drs-clinic/9999PX491-X491-230114161332-M4R1_BZDET"",""http://www.akashmedipharm.com/""]",http://www.akashmedipharm.com/,null,https://www.facebook.com/105474255769920,null,null,null,Palat Junction,null,null,Palakkad,Kerala,678001,India,IN,clinic,null,null,null,null,null,"[""familyMedicine""]",null,null,null,null,1,FALSE,TRUE,null,null,null,null,null,null,10.778409,76.65539551
Bhanu Hospital,"[""+919344170446""]",+919344170446,null,"[""https://www.practo.com/chennai/hospital/bhanu-hospital-thiruneermalai/services"",""https://www.facebook.com/p/Bhanu-Hospital-100064010796899/""]",null,null,https://www.facebook.com/1550262248558507,null,null,null,"No. 157, 3rd Cross Street, Sankara Nagar",Pammal,Pammal,Chennai,Tamil Nadu,600075,India,IN,hospital,null,null,24 hours maternity infertility and surgical centre,null,null,"[""internalMedicine""]",[],[],[],null,null,null,FALSE,null,null,null,null,null,null,12.97114086,80.1268158
Dr Trivedi's Health Care Clinic,"[""+919619722267""]",+919619722267,drtejastrivedi@gmail.com,"[""https://www.ohohomeopathy.com/homeopath/dr-trivedis-health-care-clinic-borivali-west-mumbai.php"",""http://www.drtrivedi.in/"",""https://www.zoominfo.com/c/dr-trivedis-health-care-clinic/1289531700"",""https://www.facebook.com/DrTHCC/"",""drtrivedi.in"",""https://www.facebook.com/1004639253035475"",""www.drtrivedi.in""]",drtrivedi.in,null,https://www.facebook.com/1004639253035475,null,null,null,Ausitorium 305 Raghuveer Towers Junction,Borivali West,null,Mumbai,Maharashtra,400092,India,IN,clinic,private,null,"We, Dr. Trivedi's Health Care Clinic, situated at Borivali West, Mumbai, Maharashtra provide perfect care to the patients with homeopathy and help them to get rid of the problem through which they are suffering from. Our objective is to deal with various health problems encountered by number of people. We are very proficient in our service. Our clinic has achieved eminence in this industry because of our clients belief and trust.Explore more",null,null,"[""familyMedicine"",""andrologyAndMaleFertility"",""dermatology"",""endocrinologyAndDiabetesAndMetabolism""]","[""Offers Vitiligo Treatment"",""Offers Migraine Treatment"",""Offers Hair Fall Treatment"",""Offers Skin Treatment"",""Offers Thyroid Treatment"",""Offers Psoriasis Treatment"",""Offers PCOS Treatment"",""Offers Eczema Treatment"",""Offers Erectile Dysfunction Treatment"",""Offers Sexual Health Treatment"",""Offers Premature Ejaculation Treatment""]",[],"[""Located in Borivali West, Mumbai, Maharashtra"",""Chief Homoeopathic Consultant and Director is Tejas Trivedi"",""Homoeopathic health care clinic"",""Based in Borivali West, Mumbai, the clinic provides homeopathy treatment for hair fall, skin, respiratory, stomach disorders, infertility, chronic diseases, psychological issues, and gastric ailments"",""Provides cost-effective and side-effect-free homeopathy treatment"",""Located in Mumbai, Maharashtra, India"",""Provides homeopathy-based care"",""Accepts multiple payment modes including cash, debit/credit cards, Paytm, Google Pay, and EMI"",""Has 11-50 employees""]",2022-02-11,1,TRUE,TRUE,null,2022-02-11,null,1000,null,null,19.23130608,72.85651398
Dr. Cherpulassery Co-Operative Hospital,"[""+914662280101""]",+914662280101,null,"[""https://www.mappls.com/place-cherpulassery+cooperative+hospital-cherppulassery-kerala-679503-w1e9qf@zdata=MTAuODc4NTU0Kzc2LjMxMzg2MysxNyt3MWU5cWYrKw==ed"",""https://www.cardiologistindia.com/kerala/cherpulassery/cherpulassery-co-operative-hospital.html""]",null,null,https://www.facebook.com/805846429514386,null,null,null,V8h7+68c Bus Stand,Akg Rd,Near Cherpulassery,Cherpulassery,Kerala,679303,India,IN,hospital,null,null,Providing exceptional cardiac care to the community,null,null,"[""cardiology"",""internalMedicine""]",[],"[""Wheelchair-accessible facilities including car park, entrance, and toilet""]","[""Operates as a general hospital"",""Offers cardiology services"",""Emergency information available for medical emergencies (911)"",""Has board-certified in Cardiology"",""Open 24 hours daily""]",null,3,TRUE,null,null,null,null,null,null,null,10.87855339,76.31385803
Rama Devi Medical Centre and Blood Bank,"[""+917080902028""]",+917080902028,rdmc.ramadevi@rediffmail.com,"[""https://www.facebook.com/104670845242214"",""https://www.facebook.com/p/Rama-Devi-Medical-Centre-and-Blood-Bank-100069199680347/""]",null,null,https://www.facebook.com/104670845242214,null,null,null,Jajmau,null,null,Kanpur,Uttar Pradesh,208010,India,IN,hospital,null,null,We are also providing International level infertility treatment.,null,null,"[""reproductiveEndocrinologyAndInfertility"",""internalMedicine""]",[],[],"[""Offers infertility treatment at an international level"",""Provides international-level infertility treatment"",""Operates 24/7""]",null,1,FALSE,null,null,2024-10-31,null,165,153,null,26.41184235,80.38671112
VIP Physio & Rehab,"[""+917068104104"",""+917048596979""]",+917048596979,null,"[""https://www.eka.care/clinic/vip-physio--rehab-53-24589006"",""https://www.justdial.com/Bhimavaram/VIP-Physio-Rehab-Tammi-Raju-Nagar-Beside-Ravindra-Commercial-Corporation-Bhimavaram-Bazar/9999P8816-8816-240426201701-X8L7_BZDET""]",null,null,https://www.facebook.com/135633342967403,null,null,null,"South Indian Bank Building, 2nd Floor","Tammi Raju Nagar, Beside Ravindra Commercial Corporation, Juvvalapalem Road, Bazar",null,Bhimavaram,Andhra Pradesh,534202,India,IN,clinic,private,null,"Neurophysiotherapy; Treatments include Neck Pain, Spinal Disorders, Low Back Pain, PIVD.",null,null,"[""familyMedicine"",""physicalMedicineAndRehabilitation""]",null,null,null,null,0,FALSE,TRUE,null,null,null,null,null,null,16.71232986,81.1006012
Agrawal Neuro Healthcare,"[""+918630320857""]",+918630320857,drprinceneuromtr@gmail.com,"[""https://www.justdial.com/Mathura/Agrawal-Neuro-Healthcare-Dr-Prince-Agrawal-Krishna-Nagar/9999PX565-X565-240131212921-C4H5_BZDET"",""drprinceagrawal.com"",""https://www.facebook.com/179482471920690"",""http://www.drprinceagrawal.com/"",""https://www.justdial.com/Mathura/Agrawal-Neuro-Healthcare-Dr-Prince-Agrawal/9999PX565-X565-240221160327-W2Z9_BZDET"",""https://www.facebook.com/agrawalneurohealthcare/""]",drprinceagrawal.com,null,https://www.facebook.com/179482471920690,null,null,https://instagram.com/agrawalneurohealthcare,Near Vipin Nursing Home,Krishna Nagar,null,Mathura,Uttar Pradesh,281004,India,IN,clinic,private,null,"Neurology practice providing personalized neurological assessments, innovative treatments, and holistic patient care.",null,null,"[""neurology"",""clinicalNeurophysiology"",""sleepMedicineNeurology"",""familyMedicine"",""movementDisorders"",""psychiatry"",""neurosurgery"",""headacheMedicine"",""epilepsyNeurology""]",[],"[""Shows a stethoscope in practice photos""]","[""Specializes in diseases of brain, spine, nerve and muscles"",""Neurology practice providing personalized neurological assessments, innovative treatments, and holistic patient care"",""Offers online appointment booking/consultation via external platform (hplix.in)"",""Located in Mathura, Uttar Pradesh"",""Staff includes Dr Prince Agrawal, DM Neurophysician (GB Pant Hospital, New Delhi)""]",null,3,TRUE,TRUE,null,null,null,null,null,null,27.49572182,77.65989685
Spark Diagnostics,"[""+912534056777"",""+912536667777""]",+912536667777,manager@sparkdiagnostics.in,"[""https://www.facebook.com/100522679548326"",""https://www.justdial.com/Nashik/Spark-Diagnostics-Cidco/0253PX253-X253-190324112240-G6H3_BZDET""]",null,null,https://www.facebook.com/100522679548326,null,null,null,"Sai Krupa, Kashyape Clinics, Chandak Circle.",Cidco,null,Nashik,Maharashtra,422009,India,IN,clinic,private,null,Advanced Diagnostic Centre for Radiology and Laboratory – tests.,null,null,"[""pathology"",""familyMedicine"",""radiology""]",[],[],[],null,0,FALSE,FALSE,null,null,null,null,null,null,19.9924736,73.77624512
Dr Pooja Aggarwal Pediatrician Clinic,"[""09927166995""]",null,null,"[""https://drpoojaagarwal.getmy.clinic/"",""https://www.mappls.com/place-dr+pooja+aggarwal+pediatrician-balaji+hospital+rampur+road-samta+ashram+gali-near+agrasen+dharamshala-haldwani-uttarakhand-263139-90opub@zdata=MjkuMjA3Njg1Kzc5LjUyMjc4NSsxNys5MG9wdWIrKw==ed""]",https://drpoojaagarwal.getmy.clinic/,null,null,null,null,null,Balaji Hospital Rampur Road,Samta Ashram Gali,Near Agrasen Dharamshala,Haldwani,Uttarakhand,263139,India,IN,clinic,null,null,Dr Pooja Aggarwal Pediatrician Clinic,null,null,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,null,null,null,null,29.20768356,79.522789
Shri Dhanvantari Clinic,"[""+918077830282""]",+918077830282,shridhanvantariclinic0223@gmail.com,"[""https://www.facebook.com/108701572193044"",""https://www.practo.com/dehradun/clinic/shri-dhanvantari-clinic-dehradun/ayurveda-ps-4""]",null,null,https://www.facebook.com/108701572193044,null,null,null,A P Bahuguna,Garhwali Colony,Near Indian Academy School,Dehradun,Uttarakhand,248001,India,IN,clinic,private,null,"Shri Dhanvantari Clinic is an Ayurveda Clinic in Garhwali Colony, Dehradun. The clinic is visited by ayurvedic practitioner like Dr. Shashank Rawat. The timings of Shri Dhanvantari Clinic are: Mon-Sat: 10:00-19:00. Some of the services provided by the Clinic are: Ayurvedic General Medicine,Ayurveda Practitioner and Kayachikitsa (General Ayurveda Treatments) etc.",1,null,"[""familyMedicine""]",null,null,null,null,null,TRUE,null,null,null,null,null,null,null,30.29880142,78.07276917
Krishna Heart Care and Maternity Home,"[""+917081565194""]",+917081565194,gagnendra.zydus@gmail.com,"[""https://www.justdial.com/Jaunpur/X-Ray-Centres-for-Health-Screening/nct-10544418-att-hos285"",""https://www.facebook.com/krishnaheartcare/"",""https://www.justdial.com/Jaunpur/Krishna-Heart-Care-Krishna-Nagar-Near-Jaycees-Chauraha-Jaunpur-Kutchery/9999P5452-5452-191109124604-L3X2_BZDET"",""https://www.365doctor.in/best-doctor/top-7-gynecologist-in-jaunpur-according-to-users-reviews"",""https://www.facebook.com/2094532300758729"",""https://www.justdial.com/Jaunpur/Krishna-Heart-Care-And-Infertility-Center-Olandganj/9999P5452-5452-200927210900-G6N8_BZDET"",""krishnaheartinfertility.com"",""https://www.onefivenine.com/india/Listing/Locality/hospitals/Jaunpur/Jaunpur/Mainpur"",""https://www.latlong.net/poi/krishna-heart-care-and-maternity-home-381598""]",krishnaheartinfertility.com,null,https://www.facebook.com/108020997224024,null,null,null,"Krishna Nagar, Near Jaycees Chauraha",Kutchery,null,Jaunpur,Uttar Pradesh,222002,India,IN,hospital,private,null,Hospital,null,null,"[""reproductiveEndocrinologyAndInfertility"",""obstetricsAndMaternityCare"",""familyMedicine"",""cardiology"",""gynecologyAndObstetrics"",""internalMedicine""]","[""Cardiac catheterization services offered via Cath Lab""]","[""Catheterization laboratory (Cath Lab) facility"",""Wheelchair-accessible car parking"",""Wheelchair-accessible entrance and exit""]","[""Official website available at http://krishnaheartinfertility.com/about_us.html"",""Operates 24/7"",""Provides 24/7 emergency care"",""Specializes in heart care and infertility services"",""Maintains a blood bank facility"",""Hospital located in Jaunpur, Uttar Pradesh"",""Cath Lab facility at Krishna Heart Care"",""Located in Olandganj, Jaunpur, Uttar Pradesh""]",null,1,TRUE,FALSE,null,null,null,null,null,null,25.74507904,82.68237305
Dr Vibha Verma,"[""+919431047294""]",null,null,"[""https://gynecologistnearme.in/city/muzaffarpur/""]",null,null,https://www.facebook.com/101614643752289,null,null,null,Near Rd Number 2 Juran Chapra And Behind Maripur Overbridge,Imlichatti Rd,null,Muzaffarpur,Bihar,842001,India,IN,doctor,null,null,"MBBS, MD (Obstetrics & Gynecology)",null,null,"[""gynecologyAndObstetrics""]",[],[],"[""Credentials: MBBS, MD (Obstetrics & Gynecology)"",""Located in Muzaffarpur, Bihar, India"",""Specializes in Gynecology and Obstetrics""]",null,0,TRUE,FALSE,32,null,null,null,null,null,26.12919807,85.37519836
Malwa Hospital,"[""+911645007500""]",+911645007500,null,"[""https://www.facebook.com/290259571569002""]",null,null,https://www.facebook.com/290259571569002,null,null,null,Power House Road,null,null,Bathinda,Punjab,151001,India,IN,hospital,null,null,"Centre of excellence in the field of Gastroenterology, Hepatology & Maternity.",null,null,"[""gastroenterology"",""gynecologyAndObstetrics"",""internalMedicine""]",[],[],"[""Centre of excellence in the field of Gastroenterology, Hepatology & Maternity"",""Open 24/7""]",null,1,TRUE,null,null,2025-01-01,null,1800,1800,null,30.20778465,74.95603943
"Trust Dental Care, Implant & Cosmetic Clinic","[""+919831499806"",""+918444999806""]",null,karanrajpaldentist@gmail.com,"[""https://clinicbooking.com/dentistry/india/west-bengal/kolkata/trust-dental-care-implant-cosmetic-clinic"",""https://www.facebook.com/1587693821461606""]",null,null,https://www.facebook.com/1587693821461606,null,null,null,"9/5, Sahapur Colony, J-block",New Alipore,null,Kolkata,West Bengal,700053,India,IN,clinic,private,null,Trust Dental Care provides you with the best dental professional treatment with the latest equi,null,null,"[""endodontics"",""familyMedicine"",""cosmeticDentistry"",""dentistry""]","[""Bad Breath Treatment"",""Dental Implants"",""Root Canals"",""Teeth Whitening"",""Extractions"",""Teeth Cleaning"",""Single Visit Root Canal"",""Dentist Consultation"",""Dental Crowns""]",null,null,null,4,FALSE,TRUE,null,null,null,null,null,null,22.51239014,88.32889557
Dr.Bharat's Multispeciality Dental Clinic,"[""+919176341803""]",+919176341803,harinibharat19@gmail.com,"[""https://www.promanage.biz/dr-bharats-multispeciality-dental-clinic/dental-clinic-in-valasaravakkam-chennai-11889893-profile"",""https://www.facebook.com/110347020396309""]",null,null,https://www.facebook.com/110347020396309,null,null,null,No.6 Alapakkam Main Road,Opp.devi Academy School,null,Chennai,Tamil Nadu,600087,India,IN,clinic,private,null,"A Renowned Multispeciality Dental Clinic, which is well equipped to handle all kinds of dental problems thereby providing quality dental treatment to all strata's of the society",null,null,"[""dermatology"",""familyMedicine"",""prosthodontics"",""endodontics"",""dentistry"",""aestheticDentistry""]","[""Performs laser-assisted root canal treatments"",""Performs root canal treatments"",""Performs esthetic procedures"",""Performs restorations"",""Performs dental implants""]",[],null,null,null,null,null,null,null,null,null,null,null,13.03939056,80.16421509
